itinerary,cabin_class,cabin_type,passenger_count,price,ship,date
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Interior,Not selecting,1-4,979,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Interior,Connected,1-4,1119,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Interior,Regular,1-4,1059,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Outside view,Not selecting,1-4,1300,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Outside view,Ocean view,1-4,1529,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Balcony,Not selecting,1-4,1780,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Balcony,Connecting,1-4,2189,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Balcony,Obstructed,1-4,2300,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Balcony,Ocean view,1-4,2339,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Balcony,Large balcony,1-4,2480,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Not selecting,1-8,2774,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Junior,1-8,3024,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Junior large balcony,1-8,3253,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Sky junior,1-8,3980,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Grand,1-8,4965,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Grand Large Balcony,1-8,5079,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,1 Bedroom,1-8,6379,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Sky Loft,1-8,7058,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Grand loft,1-8,9209,Anthem,2025-09-21 to 2025-09-28
"Seattle, Washington; Ketchikan, Alaska; Icy Strait Point, Alaska; Juneau, Alaska; Victoria, British Columbia; Seattle, Washington;",Suite,Owner's loft,1-8,9666,Anthem,2025-09-21 to 2025-09-28
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Interior,Not selecting,1-4,1605,Icon,2025-05-16 to 2025-05-23
